Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
19-04-2020,IN,India,SEARO,1334,15712,27,507
20-04-2020,IN,India,SEARO,1553,17265,36,543
21-04-2020,IN,India,SEARO,1336,18601,47,590
22-04-2020,IN,India,SEARO,1383,19984,50,640
23-04-2020,IN,India,SEARO,1409,21393,41,681
24-04-2020,IN,India,SEARO,1684,23077,37,718
25-04-2020,IN,India,SEARO,1429,24506,57,775
26-04-2020,IN,India,SEARO,1990,26496,49,824
27-04-2020,IN,India,SEARO,1396,27892,48,872
28-04-2020,IN,India,SEARO,1543,29435,62,934
29-04-2020,IN,India,SEARO,1897,31332,73,1007
30-04-2020,IN,India,SEARO,1718,33050,67,1074
01-05-2020,IN,India,SEARO,1993,35043,73,1147
02-05-2020,IN,India,SEARO,2293,37336,71,1218
03-05-2020,IN,India,SEARO,2644,39980,83,1301
04-05-2020,IN,India,SEARO,2553,42533,72,1373
05-05-2020,IN,India,SEARO,3900,46433,195,1568
06-05-2020,IN,India,SEARO,2958,49391,126,1694
07-05-2020,IN,India,SEARO,3561,52952,89,1783
08-05-2020,IN,India,SEARO,3390,56342,103,1886
09-05-2020,IN,India,SEARO,3320,59662,95,1981
10-05-2020,IN,India,SEARO,3277,62939,128,2109
11-05-2020,IN,India,SEARO,4213,67152,97,2206
12-05-2020,IN,India,SEARO,3604,70756,87,2293
13-05-2020,IN,India,SEARO,3525,74281,122,2415
14-05-2020,IN,India,SEARO,3722,78003,134,2549
15-05-2020,IN,India,SEARO,3967,81970,100,2649
16-05-2020,IN,India,SEARO,3970,85940,103,2752
17-05-2020,IN,India,SEARO,4987,90927,120,2872
18-05-2020,IN,India,SEARO,5242,96169,157,3029
19-05-2020,IN,India,SEARO,4970,101139,134,3163
20-05-2020,IN,India,SEARO,5611,106750,140,3303
21-05-2020,IN,India,SEARO,5609,112359,132,3435
22-05-2020,IN,India,SEARO,6088,118447,148,3583
23-05-2020,IN,India,SEARO,6654,125101,137,3720
24-05-2020,IN,India,SEARO,6767,131868,147,3867
25-05-2020,IN,India,SEARO,6977,138845,154,4021
26-05-2020,IN,India,SEARO,6535,145380,146,4167
27-05-2020,IN,India,SEARO,6387,151767,170,4337
28-05-2020,IN,India,SEARO,6566,158333,194,4531
29-05-2020,IN,India,SEARO,7466,165799,175,4706
30-05-2020,IN,India,SEARO,7964,173763,265,4971
31-05-2020,IN,India,SEARO,8380,182143,193,5164
01-06-2020,IN,India,SEARO,8392,190535,230,5394
02-06-2020,IN,India,SEARO,8171,198706,204,5598
03-06-2020,IN,India,SEARO,8909,207615,217,5815
04-06-2020,IN,India,SEARO,9304,216919,260,6075
05-06-2020,IN,India,SEARO,9851,226770,273,6348
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
